product_category_name,Số đơn,Tổng doanh thu,TB doanh thu,Độ lệch chuẩn,Min,Max
"climatizacao,informatica_acessorios",1,189.89,189.89,,189.89,189.89
"automotivo,fashion_bolsas_e_acessorios,instrumentos_musicais",1,189.4,189.4,,189.4,189.4
"alimentos_bebidas,esporte_lazer",2,188.85,94.42,47.43,60.89,127.96
"musica,perfumaria",1,182.4,182.4,,182.4,182.4
"artigos_de_festas,cama_mesa_banho",1,179.89,179.89,,179.89,179.89
"brinquedos,perfumaria",1,179.79,179.79,,179.79,179.79
"perfumaria,pet_shop",1,179.6,179.6,,179.6,179.6
"beleza_saude,construcao_ferramentas_construcao",1,178.69,178.69,,178.69,178.69
"automotivo,cama_mesa_banho,cool_stuff",1,176.17,176.17,,176.17,176.17
"eletronicos,malas_acessorios",1,174.9,174.9,,174.9,174.9
"construcao_ferramentas_construcao,pet_shop",1,174.7,174.7,,174.7,174.7
"flores,moveis_decoracao",1,172.14,172.14,,172.14,172.14
"construcao_ferramentas_jardim,telefonia",1,171.89,171.89,,171.89,171.89
"moveis_cozinha_area_de_servico_jantar_e_jardim,utilidades_domesticas",1,170.75,170.75,,170.75,170.75
"instrumentos_musicais,malas_acessorios",1,169.8,169.8,,169.8,169.8
"bebes,construcao_ferramentas_seguranca",1,169.0,169.0,,169.0,169.0
"bebes,sinalizacao_e_seguranca",1,155.8,155.8,,155.8,155.8
"cool_stuff,pc_gamer",1,154.99,154.99,,154.99,154.99
"beleza_saude,nan",2,153.95,76.97,39.35,49.15,104.8
"instrumentos_musicais,nan",1,151.79,151.79,,151.79,151.79
"fashion_bolsas_e_acessorios,fashion_roupa_infanto_juvenil",2,149.96,74.98,7.07,69.98,79.98
"esporte_lazer,papelaria",1,148.8,148.8,,148.8,148.8
"bebes,cama_mesa_banho,moveis_decoracao",1,148.79,148.79,,148.79,148.79
"automotivo,nan",1,147.89,147.89,,147.89,147.89
"perfumaria,utilidades_domesticas",1,142.99,142.99,,142.99,142.99
"construcao_ferramentas_construcao,moveis_cozinha_area_de_servico_jantar_e_jardim",1,140.8,140.8,,140.8,140.8
"automotivo,cama_mesa_banho",1,139.98,139.98,,139.98,139.98
"beleza_saude,esporte_lazer,informatica_acessorios",1,139.8,139.8,,139.8,139.8
"cine_foto,esporte_lazer",1,137.98,137.98,,137.98,137.98
"bebes,fashion_calcados",2,137.6,68.8,4.24,65.8,71.8
"malas_acessorios,telefonia",1,134.8,134.8,,134.8,134.8
"moveis_cozinha_area_de_servico_jantar_e_jardim,moveis_decoracao",1,134.8,134.8,,134.8,134.8
"alimentos,pet_shop",1,134.37,134.37,,134.37,134.37
"cool_stuff,esporte_lazer",1,130.0,130.0,,130.0,130.0
"fashion_esporte,fashion_roupa_feminina",1,129.89,129.89,,129.89,129.89
"fashion_bolsas_e_acessorios,fashion_esporte",1,128.9,128.9,,128.9,128.9
"beleza_saude,fashion_bolsas_e_acessorios",1,128.4,128.4,,128.4,128.4
"ferramentas_jardim,papelaria",2,127.21,63.6,46.14,30.98,96.23
"esporte_lazer,moveis_decoracao,pet_shop",1,125.28,125.28,,125.28,125.28
"cama_mesa_banho,esporte_lazer,nan",1,121.6,121.6,,121.6,121.6
"alimentos,cama_mesa_banho",1,117.4,117.4,,117.4,117.4
